id,screen,control,role,preconditions_and_validation,action_and_target,success,failure,acceptance_test_id,acceptance,implementation_status,implementation_refs,test_status,test_refs
GLOBAL-01,GLOBAL,品牌 Logo,全部,无,公开回 /；客户回 /customer；员工回 /staff,在三种外壳点击均进入正确首页,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-01,在三种外壳点击均进入正确首页,not_implemented,[],not_run,[]
GLOBAL-02,GLOBAL,客户导航 My overview / Application / Repayments / My security / Help,Customer,业务页需已验证并关联；无贷款时显示空状态,按路由表跳转；多笔贷款先选 loanId，不擅自默认另一笔,五个入口可键盘操作；选中状态随真实路由变化,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-02,五个入口可键盘操作；选中状态随真实路由变化,not_implemented,[],not_run,[]
GLOBAL-03,GLOBAL,员工导航 Overview / Borrowers / Applications / Loans / Collateral / Transactions,Staff,按 IMPLEMENTATION_SPEC 权限矩阵,进入各资源列表；不可访问项不显示，直接输入URL仍鉴权,逐角色核对菜单及后端403/404；不会显示客户外壳,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-03,逐角色核对菜单及后端403/404；不会显示客户外壳,not_implemented,[],not_run,[]
GLOBAL-04,GLOBAL,Administration / Staff accounts / Activity log,manage_staff 或 view_audit,相应独立权限,打开管理子导航至S16/S19,只有相应授权项可见且API独立校验,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-04,只有相应授权项可见且API独立校验,not_implemented,[],not_run,[]
GLOBAL-05,GLOBAL,Settings / Your account,已登录,有效会话,进入A02；员工继续用员工外壳,角色只读，不存在自助提升权限控件,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-05,角色只读，不存在自助提升权限控件,not_implemented,[],not_run,[]
GLOBAL-06,GLOBAL,头像 / 姓名 / 下拉箭头,已登录,有效会话,打开菜单含Your account、Sign out；外部点击或Esc关闭,焦点与键盘导航正确，菜单不遮住关键操作,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-06,焦点与键盘导航正确，菜单不遮住关键操作,not_implemented,[],not_run,[]
GLOBAL-07,GLOBAL,Sign out,已登录,提交中先说明尚未确认操作并保留服务端attempt,POST /auth/logout；清空受保护缓存后到C02,退出后后退及直接API均不能读取旧数据,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-07,退出后后退及直接API均不能读取旧数据,not_implemented,[],not_run,[]
GLOBAL-08,GLOBAL,顶部放大镜 / Ctrl或Cmd+K,Staff,至少2字符；资源范围鉴权,打开全局搜索对话框，GET /search?q=；选择结果到对应详情,不同角色结果范围正确，旧响应不覆盖新输入,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-08,不同角色结果范围正确，旧响应不覆盖新输入,not_implemented,[],not_run,[]
GLOBAL-09,GLOBAL,全局搜索结果 / Enter,Staff,结果仍有权限且存在,进入结果记录；关闭搜索框,无权限或已删除记录给404安全页，不泄露摘要,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-09,无权限或已删除记录给404安全页，不泄露摘要,not_implemented,[],not_run,[]
GLOBAL-10,GLOBAL,通知铃铛 / 未读数字,已登录,有效会话,GET /notifications，打开G02,未读数来自服务端；无通知为0而不是固定红点,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-10,未读数来自服务端；无通知为0而不是固定红点,not_implemented,[],not_run,[]
GLOBAL-11,GLOBAL,Back / 面包屑 / Return to overview,当前页访问者,未保存内容先处理脏表单；未知资金结果保留attempt,返回规范父路由，列表筛选保留；不依赖可能离开站点的history.back,新标签直接打开详情后返回仍正确,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-11,新标签直接打开详情后返回仍正确,not_implemented,[],not_run,[]
